repeat,seed,layer,layer_index,relative_layer_depth,probe,probe_type,probe_complexity,task_type,input_dim,hidden_layers_total,class_count,train_n,validation_n,test_n,parameters,resolved_hidden_dims,epochs_completed,best_validation_score,geometry_silhouette,geometry_pca_2d_variance,baseline_test_macro_f1,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,train_mcc,train_cohen_kappa,train_log_loss,train_log_loss_score,train_roc_auc_ovr_macro,train_average_precision_macro,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall,validation_mcc,validation_cohen_kappa,validation_log_loss,validation_log_loss_score,validation_roc_auc_ovr_macro,validation_average_precision_macro,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_mcc,test_cohen_kappa,test_log_loss,test_log_loss_score,test_roc_auc_ovr_macro,test_average_precision_macro,macro_f1_component,balanced_accuracy_component,mcc_component,log_loss_score_component,control_macro_f1,selectivity,selectivity_component,stability_component,geometry_component,complexity_penalty,probe_score_raw,probe_score,generalization_gap,overfit_penalty,run,run_path,master_version,master_config_hash,chance_macro_f1_reference,normalized_macro_f1
0,329176201,layer_0,0,0.0,linear_logistic,logistic,linear,single_label,768,13,7,1600,200,200,5383,[],,,-0.0337075591087341,0.3827527165412903,0.0394088669950738,0.9925,0.9926300442436088,0.9926436387672944,0.9925707729824776,0.992886781268524,0.9926300442436088,0.9912807119586352,0.9912395530529472,0.0526740253826626,0.9486892106866028,0.999935854883236,0.9993516493612878,0.44,0.4370769171738503,0.440992312244938,0.4434450279608261,0.4551781672139493,0.4370769171738503,0.3469260109942321,0.3460235898633655,3.003894247811272,0.0495935622108529,0.7952939611691946,0.4956060050246553,0.515,0.513837214211241,0.516919771081214,0.5171990677342257,0.5336538461538461,0.513837214211241,0.4342126635564358,0.4331960148420838,2.569581558474661,0.076567577775647,0.8196555049670241,0.5354431291915345,0.516919771081214,0.513837214211241,0.7171063317782179,0.076567577775647,,,0.0,0.9274445426048562,0.4831462204456329,0.0152743030116885,0.4384299977290543,0.4231556947173657,0.4757238676860803,0.4757238676860803,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
0,3129711444,layer_0,0,0.0,mlp_1_hidden,mlp,1_hidden,single_label,768,13,7,1600,200,200,297991,[384],35.0,0.5660063449650222,-0.0337075591087341,0.3827527165412903,0.0394088669950738,0.991875,0.99196337579202,0.992073998941404,0.9919538604167112,0.9924506387921024,0.99196337579202,0.9905580363635909,0.9905092213409284,0.0399103608199037,0.9608755673900684,0.9999478930793076,0.9994179833390514,0.58,0.5734835169127239,0.5660063449650222,0.5702850120331343,0.5709765505259895,0.5734835169127239,0.5103383256609071,0.5085851347003247,1.5427005738749733,0.2138029304732508,0.8565959958514169,0.6146110243520558,0.565,0.5652780941198627,0.5685208879790161,0.5673041125541126,0.5781505105790442,0.5652780941198627,0.4925118749657846,0.4917630564318261,1.6684841216266568,0.1885326416889879,0.8489369998385722,0.591510267749096,0.5685208879790161,0.5652780941198627,0.7462559374828923,0.1885326416889879,,,0.0,0.9372391601675752,0.4831462204456329,0.02,0.4755948179431052,0.4555948179431052,0.4235531109623878,0.4235531109623878,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
0,3280942911,layer_0,0,0.0,mlp_2_hidden,mlp,2_hidden,single_label,768,13,7,1600,200,200,370567,"[384, 192]",24.0,0.5962755592857633,-0.0337075591087341,0.3827527165412903,0.0394088669950738,0.99125,0.9911592443011932,0.9917078069127994,0.9913169355995138,0.9924615368535472,0.9911592443011932,0.9898202350854914,0.9897772956474554,0.0396761441501354,0.9611006468231732,0.9999163634140802,0.999261928241659,0.6,0.6002080107037997,0.5962755592857633,0.5961467437985295,0.5961615377376246,0.6002080107037997,0.5332966002749904,0.5327512192272872,1.8165816530286327,0.1625805588916716,0.8562211372025376,0.60170439418161,0.54,0.5388676820851459,0.5419577282023168,0.5415042136460038,0.5517959699966442,0.5388676820851459,0.4630618011103884,0.4623027469316189,1.9404125133231305,0.1436446822090044,0.8451692547334122,0.58955450862031,0.5419577282023168,0.5388676820851459,0.7315309005551942,0.1436446822090044,,,0.0,0.94495962134669,0.4831462204456329,0.02,0.4590669608244813,0.4390669608244812,0.4497500787104825,0.4497500787104825,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
0,3349341881,layer_0,0,0.0,mlp_3_hidden,mlp,3_hidden,single_label,768,13,7,1600,200,200,388423,"[384, 192, 96]",30.0,0.559472144169769,-0.0337075591087341,0.3827527165412903,0.0394088669950738,0.991875,0.9917086948506436,0.9923373646789878,0.9919415574530956,0.9931972789115646,0.9917086948506436,0.9905560906142382,0.9905072332144608,0.020210866120748,0.9799920044054532,0.99994885636465,0.9994233378046756,0.565,0.5619488332820607,0.559472144169769,0.5622222062117119,0.5635079206507778,0.5619488332820607,0.492772592487767,0.4917927449033238,2.3178936940036907,0.0984807979967425,0.8465328066098918,0.5894816238776658,0.54,0.5394388861046259,0.5420887374161986,0.5418814800156859,0.5488746930562534,0.5394388861046259,0.4628744377982896,0.4625226383127885,2.395237035595975,0.0911510703134187,0.8439202481498861,0.5887718861773328,0.5420887374161986,0.5394388861046259,0.7314372188991448,0.0911510703134187,,,0.0,0.9488328033173414,0.4831462204456329,0.02,0.4543092984899729,0.4343092984899729,0.4502486272627892,0.4502486272627892,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
0,329177198,layer_1,1,0.0833333333333333,linear_logistic,logistic,linear,single_label,768,13,7,1600,200,200,5383,[],,,-0.135666936635971,0.99629545211792,0.0394088669950738,0.9925,0.9926300442436088,0.9926436387672944,0.9925707729824776,0.992886781268524,0.9926300442436088,0.9912807119586352,0.9912395530529472,0.0534807911623689,0.9479241493499936,0.9999309252632952,0.9993255862198608,0.49,0.4879004322830796,0.495652207194536,0.4987570970658471,0.5177183418170135,0.4879004322830796,0.4064610544279587,0.4049181762492342,2.8446120595175763,0.0581568237504117,0.8199250878778571,0.5434986954333482,0.49,0.4900442907214319,0.4926738247132984,0.4922560188349661,0.499989541793729,0.4900442907214319,0.4047134798181754,0.4042404065183108,2.6240967462097298,0.0725052180788766,0.819215983249187,0.5456902092873852,0.4926738247132984,0.4900442907214319,0.7023567399090878,0.0725052180788766,,,0.0,0.9665269822092304,0.4321665316820144,0.0152743030116885,0.4275401573858139,0.4122658543741254,0.4999698140539959,0.4999698140539959,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
0,3129712441,layer_1,1,0.0833333333333333,mlp_1_hidden,mlp,1_hidden,single_label,768,13,7,1600,200,200,297991,[384],18.0,0.5894984168102282,-0.135666936635971,0.99629545211792,0.0394088669950738,0.860625,0.8595941358144541,0.8590153843157357,0.8604124017463326,0.8591140442256179,0.8595941358144541,0.8373267045515699,0.8372197423984175,0.5446041283848291,0.5800713716839166,0.984384598672687,0.9342721375902852,0.595,0.5888869371707445,0.5894984168102282,0.593500720039085,0.5933669427696521,0.5888869371707445,0.5268360049568293,0.5263573370756951,1.1639723856261126,0.31224336299393,0.8755672291912394,0.6425981921840094,0.585,0.5844258317589797,0.5820719217973481,0.5819213355633165,0.5841168151494239,0.5844258317589797,0.5157079575426841,0.5150594490374223,1.188205446772059,0.304767695471619,0.8779156174269467,0.6369845453548816,0.5820719217973481,0.5844258317589797,0.7578539787713421,0.304767695471619,,,0.0,0.9411709585785554,0.4321665316820144,0.02,0.4930621440180034,0.4730621440180034,0.2769434625183875,0.2769434625183875,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
0,3280943908,layer_1,1,0.0833333333333333,mlp_2_hidden,mlp,2_hidden,single_label,768,13,7,1600,200,200,370567,"[384, 192]",17.0,0.5796907779289905,-0.135666936635971,0.99629545211792,0.0394088669950738,0.823125,0.8206917999818685,0.8195638729169314,0.8216837264027451,0.8213967389482405,0.8206917999818685,0.7938284040310123,0.7933623118960422,0.5483315516855991,0.5779132247992018,0.9775573499303166,0.9039608476598054,0.59,0.5832055441542173,0.5796907779289905,0.5839775602457865,0.5827278843668963,0.5832055441542173,0.5215423175261596,0.5204257683422523,1.198737533805932,0.3015746995484434,0.8731460118752362,0.6316673623795227,0.535,0.5346097034737191,0.5359043680834484,0.534770105106352,0.5412844354020825,0.5346097034737191,0.4568870879566002,0.4563787812362998,1.299529875231909,0.2726599471018504,0.8577142360184639,0.6093996546768744,0.5359043680834484,0.5346097034737191,0.7284435439783001,0.2726599471018504,,,0.0,0.9662836405539929,0.4321665316820144,0.02,0.46893676448835,0.4489367644883499,0.283659504833483,0.283659504833483,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
0,3349342878,layer_1,1,0.0833333333333333,mlp_3_hidden,mlp,3_hidden,single_label,768,13,7,1600,200,200,388423,"[384, 192, 96]",19.0,0.5818672984417306,-0.135666936635971,0.99629545211792,0.0394088669950738,0.8975,0.8965786540632301,0.8951739389822866,0.8974103623829116,0.897538400094449,0.8965786540632301,0.8808961204273957,0.8803264206334764,0.3338660690817233,0.7161496903901885,0.9913339115900052,0.9609148281914576,0.585,0.5836751324197692,0.5818672984417306,0.5847640497407078,0.5831551885987369,0.5836751324197692,0.5161949878341323,0.5156678531831709,1.3294900821611484,0.264612157363363,0.8768870559262208,0.621141971275628,0.53,0.5287110525736777,0.5281077988969711,0.5283110374478033,0.5372440171379987,0.5287110525736777,0.4521028924859271,0.4508062631455948,1.421987181127006,0.2412341642994457,0.8598426680514704,0.6201386389964767,0.5281077988969711,0.5287110525736777,0.7260514462429636,0.2412341642994457,,,0.0,0.9694637649750224,0.4321665316820144,0.02,0.4629194440582865,0.4429194440582865,0.3670661400853154,0.3670661400853154,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
0,329178195,layer_2,2,0.1666666666666666,linear_logistic,logistic,linear,single_label,768,13,7,1600,200,200,5383,[],,,-0.136471226811409,0.9973060488700868,0.0394088669950738,0.9925,0.9926300442436088,0.9926436387672944,0.9925707729824776,0.992886781268524,0.9926300442436088,0.9912807119586352,0.9912395530529472,0.0520975930322791,0.9492362234808912,0.999934357183304,0.9993439652585552,0.5,0.4961648370992085,0.5018498314552742,0.5066838299281706,0.514210766401576,0.4961648370992085,0.4172125790234425,0.4164332399626518,2.8515933239718265,0.0577522295169211,0.8214248645754461,0.5532126463464302,0.51,0.5079880196329029,0.5074459898392247,0.5077438738424,0.5124317836086951,0.5079880196329029,0.4279037642705625,0.4271016017771541,2.715471728436865,0.0661737296131388,0.819187164527105,0.5413598128655223,0.5074459898392247,0.5079880196329029,0.7139518821352813,0.0661737296131388,,,0.0,0.9661478861124264,0.4317643865942955,0.0152743030116885,0.4349728636273051,0.4196985606156165,0.4851976489280696,0.4851976489280696,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
0,3129713438,layer_2,2,0.1666666666666666,mlp_1_hidden,mlp,1_hidden,single_label,768,13,7,1600,200,200,297991,[384],21.0,0.6059321386396117,-0.136471226811409,0.9973060488700868,0.0394088669950738,0.954375,0.954643490713862,0.954347414580182,0.9544040641521542,0.9547198388294176,0.954643490713862,0.9468264998929274,0.9467124598860706,0.2902750610012757,0.7480577777561237,0.9972322859207858,0.988175614956302,0.61,0.6058024642165751,0.6059321386396117,0.6082986718373693,0.6167775232430405,0.6058024642165751,0.5455271264535945,0.5440729483282674,1.207852064219595,0.2988384764144467,0.8747852642261745,0.6468630703699544,0.595,0.5938901502958789,0.5885650487405671,0.5885318267430896,0.5916855631141346,0.5938901502958789,0.5282288538943711,0.5267447635184481,1.2398701468204465,0.2894217978397447,0.8739121640942706,0.6442493058487587,0.5885650487405671,0.5938901502958789,0.7641144269471856,0.2894217978397447,,,0.0,0.9267178263810052,0.4317643865942955,0.02,0.4940441305233912,0.4740441305233912,0.365782365839615,0.365782365839615,facebook_opt-125m_ISEAR_1_101720,/Volumes/Amirali/hidden_states/experiments/baseline_v5_001/models/facebook/opt-125m/datasets/ISEAR/analysis/probes/matrix_runs/unified_v4_20260901_101720,,,,
