repeat,seed,layer,layer_index,relative_layer_depth,probe,probe_type,probe_complexity,task_type,input_dim,hidden_layers_total,class_count,train_n,validation_n,test_n,parameters,resolved_hidden_dims,epochs_completed,best_validation_score,geometry_silhouette,geometry_pca_2d_variance,baseline_test_macro_f1,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,train_macro_precision,train_macro_recall,train_mcc,train_cohen_kappa,train_log_loss,train_log_loss_score,train_roc_auc_ovr_macro,train_average_precision_macro,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_precision,validation_macro_recall,validation_mcc,validation_cohen_kappa,validation_log_loss,validation_log_loss_score,validation_roc_auc_ovr_macro,validation_average_precision_macro,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_mcc,test_cohen_kappa,test_log_loss,test_log_loss_score,test_roc_auc_ovr_macro,test_average_precision_macro,macro_f1_component,balanced_accuracy_component,mcc_component,log_loss_score_component,control_macro_f1,selectivity,selectivity_component,stability_component,geometry_component,complexity_penalty,probe_score_raw,probe_score,generalization_gap,overfit_penalty,run,train_exact_match_accuracy,train_micro_f1,train_micro_precision,train_micro_recall,train_hamming_loss,train_hamming_score,train_macro_jaccard,train_roc_auc_macro,train_labels_with_positive_support,train_labels_with_negative_support,train_labels_with_both_support,validation_exact_match_accuracy,validation_micro_f1,validation_micro_precision,validation_micro_recall,validation_hamming_loss,validation_hamming_score,validation_macro_jaccard,validation_roc_auc_macro,validation_labels_with_positive_support,validation_labels_with_negative_support,validation_labels_with_both_support,test_exact_match_accuracy,test_micro_f1,test_micro_precision,test_micro_recall,test_hamming_loss,test_hamming_score,test_macro_jaccard,test_roc_auc_macro,test_labels_with_positive_support,test_labels_with_negative_support,test_labels_with_both_support,master_version,master_config_hash,chance_macro_f1_reference,normalized_macro_f1
0,329176201,layer_0,0,0.0,linear_logistic,logistic,linear,single_label,768,13,7,1600,200,200,5383,[],,,-0.066104307770729,0.7451168298721313,0.0394088669950738,0.991875,0.9920169234588144,0.991976590607454,0.991940427940382,0.9921760492145084,0.9920169234588144,0.9905525902013884,0.9905096543734752,0.1482596963424618,0.8622071738154741,0.9997325453454744,0.99858881937848,0.4,0.3989410163730837,0.4023020126399893,0.4028317357003916,0.408972554539057,0.3989410163730837,0.2995470899141845,0.2992496131273906,3.2016950096869228,0.040693170170777,0.7451533482225522,0.4010774398805145,0.465,0.4660252760155429,0.4667870066847049,0.4658809638784064,0.4760410745639948,0.4660252760155429,0.3759960132448464,0.3751277484159196,2.9612187207155283,0.051755802852088,0.7740768522842189,0.4549157571748599,0.4667870066847049,0.4660252760155429,0.6879980066224232,0.051755802852088,,,0.0,0.949426142048306,0.4669478461146354,0.0152743030116885,0.4132658308626423,0.3979915278509538,0.5251895839227492,0.5251895839227492,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3129711444,layer_0,0,0.0,mlp_1_hidden,mlp,1_hidden,single_label,768,13,7,1600,200,200,297991,[384],45.0,0.5050764288913745,-0.066104307770729,0.7451168298721313,0.0394088669950738,0.98625,0.9860046195268656,0.9867620641632066,0.9863008102315852,0.987879516744086,0.9860046195268656,0.9840050681476252,0.9839345038933726,0.1188520455356924,0.8879391656072879,0.999794368634693,0.9986541032857904,0.51,0.5079123488467203,0.5050764288913745,0.5067478172987282,0.5040292379578094,0.5079123488467203,0.4277156085871409,0.4274530423860018,1.946016943484865,0.1428418873246814,0.7951379358269811,0.471401842268377,0.43,0.4292030454405315,0.4310462601761466,0.4303780494570043,0.4387065818338662,0.4292030454405315,0.3342132900187949,0.3335671694142406,2.105594447630167,0.12177326492068,0.7786318482043256,0.4543361305377679,0.4310462601761466,0.4292030454405315,0.6671066450093974,0.12177326492068,,,0.0,0.9728147321031062,0.4669478461146354,0.02,0.4050142106196364,0.3850142106196363,0.5557158039870599,0.5557158039870599,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3280942911,layer_0,0,0.0,mlp_2_hidden,mlp,2_hidden,single_label,768,13,7,1600,200,200,370567,"[384, 192]",51.0,0.4955655888210149,-0.066104307770729,0.7451168298721313,0.0394088669950738,0.991875,0.99196337579202,0.992073998941404,0.9919538604167112,0.9924506387921024,0.99196337579202,0.9905580363635909,0.9905092213409284,0.0234176315393379,0.9768544333511356,0.9999447921356064,0.9993999305923283,0.5,0.5023130079541965,0.4955655888210149,0.4940148971583212,0.5010110238526105,0.5023130079541965,0.4184330076281431,0.4165013420469132,2.8577512330387136,0.0573976892727798,0.7936997143614924,0.4724093744024988,0.425,0.4230832199255446,0.4271254556378643,0.427965066090792,0.4450488708997113,0.4230832199255446,0.3289297707241504,0.3279569892473118,3.371802636644856,0.0343277011639792,0.7639269962391214,0.4416818738440484,0.4271254556378643,0.4230832199255446,0.6644648853620753,0.0343277011639792,,,0.0,0.994729665138478,0.4669478461146354,0.02,0.3961667086385866,0.3761667086385866,0.5649485433035395,0.5649485433035395,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3349341881,layer_0,0,0.0,mlp_3_hidden,mlp,3_hidden,single_label,768,13,7,1600,200,200,388423,"[384, 192, 96]",50.0,0.4763344123182398,-0.066104307770729,0.7451168298721313,0.0394088669950738,0.991875,0.99196337579202,0.992073998941404,0.9919538604167112,0.9924506387921024,0.99196337579202,0.9905580363635909,0.9905092213409284,0.0199320938709765,0.9802652370643516,0.99994885636465,0.9994233378046756,0.48,0.4798200119588965,0.4763344123182398,0.4779906684859514,0.4800354024668337,0.4798200119588965,0.3943155130356461,0.3933029984832574,3.2186194533318577,0.0400102561760933,0.7916318508853573,0.4971896443610132,0.435,0.4361181470344429,0.4373617560215394,0.4357271041403212,0.444999565893918,0.4361181470344429,0.3406897492669287,0.339972547530738,3.698072890927447,0.0247712173405008,0.7707097509863121,0.4519908609873816,0.4373617560215394,0.4361181470344429,0.6703448746334644,0.0247712173405008,,,0.0,0.9695087944787286,0.4669478461146354,0.02,0.3980852857432256,0.3780852857432256,0.5547122429198645,0.5547122429198645,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,329177198,layer_1,1,0.0833333333333333,linear_logistic,logistic,linear,single_label,768,13,7,1600,200,200,5383,[],,,-0.0582054443657398,0.7428788542747498,0.0394088669950738,0.9925,0.9926300442436088,0.9926436387672944,0.9925707729824776,0.992886781268524,0.9926300442436088,0.9912807119586352,0.9912395530529472,0.0593784925239303,0.9423500292086756,0.99992091535705,0.9992768915162984,0.47,0.4668866043409186,0.4702296645475232,0.4716898546699382,0.4769574686219043,0.4668866043409186,0.3806857039482642,0.3802619270346118,3.071178569008255,0.046366476550397,0.804578979669481,0.4877985891418994,0.47,0.4695268258088058,0.4713387769077842,0.4715804228727957,0.4781008055396071,0.4695268258088058,0.3812927218743664,0.3807687813996963,3.074855093060671,0.0461963220643264,0.7948245693551987,0.4818440192583746,0.4713387769077842,0.4695268258088058,0.6906463609371832,0.0461963220643264,,,0.0,0.9915279235972692,0.4708972778171301,0.0152743030116885,0.4191779606958604,0.4039036576841719,0.5213048618595102,0.5213048618595102,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3129712441,layer_1,1,0.0833333333333333,mlp_1_hidden,mlp,1_hidden,single_label,768,13,7,1600,200,200,297991,[384],19.0,0.562371170305986,-0.0582054443657398,0.7428788542747498,0.0394088669950738,0.88625,0.8847750832736037,0.8848334171902635,0.8861145859101103,0.885865376125902,0.8847750832736037,0.8672642513236501,0.8671217624618979,0.4534651171315509,0.6354225189846735,0.9896097540035336,0.955785627751478,0.565,0.5607504198398844,0.562371170305986,0.564541158202139,0.5750833254042204,0.5607504198398844,0.4926878309492651,0.4912429461126867,1.2653676475258602,0.2821355506336547,0.861286535290781,0.5966324783878854,0.55,0.5456398576087118,0.5452754585032732,0.5473890404497546,0.5566755171593881,0.5456398576087118,0.4747815727838845,0.4734994734994735,1.314504650311751,0.268607344854944,0.8528878192967212,0.5844416126569427,0.5452754585032732,0.5456398576087118,0.7373907863919422,0.268607344854944,,,0.0,0.9607121043329848,0.4708972778171301,0.02,0.4752502700355658,0.4552502700355658,0.3395579586869903,0.3395579586869903,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3280943908,layer_1,1,0.0833333333333333,mlp_2_hidden,mlp,2_hidden,single_label,768,13,7,1600,200,200,370567,"[384, 192]",18.0,0.5752281571802119,-0.0582054443657398,0.7428788542747498,0.0394088669950738,0.870625,0.8678078329908587,0.8674019002311394,0.8702840044874378,0.8699736216407308,0.8678078329908587,0.8493725233936795,0.8488798078875432,0.3964954608632066,0.6726733300505681,0.9880856355517624,0.9456754270680792,0.58,0.5767117436829816,0.5752281571802119,0.5763163705459938,0.5862639425139424,0.5767117436829816,0.5106445783558629,0.5087719298245614,1.4383098183750258,0.2373285482344492,0.8447633396451796,0.5754702075392778,0.545,0.5474278196775416,0.5499463241009661,0.5478927228587923,0.561512351768563,0.5474278196775416,0.4699955661767876,0.4686907020872864,1.4483657817903453,0.2349539405305596,0.8469356834615198,0.5755083845039181,0.5499463241009661,0.5474278196775416,0.7349977830883938,0.2349539405305596,,,0.0,0.940676201170325,0.4708972778171301,0.02,0.4709582995010768,0.4509582995010768,0.3174555761301733,0.3174555761301733,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3349342878,layer_1,1,0.0833333333333333,mlp_3_hidden,mlp,3_hidden,single_label,768,13,7,1600,200,200,388423,"[384, 192, 96]",25.0,0.584663245800353,-0.0582054443657398,0.7428788542747498,0.0394088669950738,0.99125,0.9912926849804842,0.9913802023354668,0.991325938895494,0.9917399067380864,0.9912926849804842,0.9898288993004918,0.9897792174074528,0.0291021402713646,0.9713172487923604,0.999928663324532,0.9993184339580432,0.59,0.5894736902602785,0.584663245800353,0.5854694498911444,0.593299685465584,0.5894736902602785,0.5226012591400814,0.5210420256417745,2.178086933606468,0.1132579935817627,0.8601958145585581,0.6067707262162365,0.51,0.5093159727739817,0.5108125386035737,0.510320930452655,0.5151846148620343,0.5093159727739817,0.4276568721860777,0.4272187965750021,2.870730516262052,0.0566575222170609,0.8193588801196,0.5173843428258059,0.5108125386035737,0.5093159727739817,0.7138284360930389,0.0566575222170609,,,0.0,0.9926616847520352,0.4708972778171301,0.02,0.4396515805687126,0.4196515805687126,0.4805676637318932,0.4805676637318932,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,329178195,layer_2,2,0.1666666666666666,linear_logistic,logistic,linear,single_label,768,13,7,1600,200,200,5383,[],,,-0.0795663446187973,0.910802960395813,0.0394088669950738,0.9925,0.9926300442436088,0.9926436387672944,0.9925707729824776,0.992886781268524,0.9926300442436088,0.9912807119586352,0.9912395530529472,0.0601391353614905,0.9416335099506512,0.9999268159117248,0.99930738130974,0.455,0.4535938721541773,0.4527277664651258,0.454084660852607,0.4560645417837725,0.4535938721541773,0.3639110667878009,0.3632619680462657,2.859576169291388,0.0572930376691031,0.7994616921648959,0.4844682434134035,0.475,0.4785859729505446,0.4783027083655696,0.4748304852864663,0.4857697891799274,0.4785859729505446,0.3879468474268842,0.3870402802101577,2.968650347701098,0.0513725987097413,0.795752775921685,0.4872442145785687,0.4783027083655696,0.4785859729505446,0.6939734237134421,0.0513725987097413,,,0.0,0.9964259757357996,0.4602168276906013,0.0152743030116885,0.4232502854200746,0.407975982408386,0.5143409304017247,0.5143409304017247,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3129713438,layer_2,2,0.1666666666666666,mlp_1_hidden,mlp,1_hidden,single_label,768,13,7,1600,200,200,297991,[384],21.0,0.5740841303832045,-0.0795663446187973,0.910802960395813,0.0394088669950738,0.943125,0.9428037205360592,0.9426976096561356,0.9430743547413826,0.9431489183558366,0.9428037205360592,0.9336634071972943,0.9335667015867336,0.3275839976262747,0.7206627547723697,0.9958754328040694,0.9822277380317188,0.58,0.5803032931191202,0.5740841303832045,0.5733171063737103,0.5747918904403867,0.5803032931191202,0.5103332388348085,0.5092884682790046,1.252160785967257,0.2858863896789741,0.8648455673745693,0.5934484218432402,0.505,0.5050731666985838,0.5102735588105303,0.5085499793687753,0.5238851825531998,0.5050731666985838,0.4219545287934452,0.4211880261927034,1.390403797058243,0.2489747490597653,0.8426518176750832,0.5556726006444103,0.5102735588105303,0.5050731666985838,0.7109772643967226,0.2489747490597653,,,0.0,0.965756207040446,0.4602168276906013,0.02,0.4544598913614798,0.4344598913614798,0.4324240508456052,0.4324240508456052,EleutherAI_gpt-neo-125m_ISEAR_1_094936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
